"STATISTIC","Statistic Label","TLIST(A1)","Year","C03635V04375","Day","C04349V05129","Hourly Consumption","C04540V05324","Electricity Users","UNIT","VALUE"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","100","00:00 < 01:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","849"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","110","01:00 < 02:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","845"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","120","02:00 < 03:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","845"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","130","03:00 < 04:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","844"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","140","04:00 < 05:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","845"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","150","05:00 < 06:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","842"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","160","06:00 < 07:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","848"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","170","07:00 < 08:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","849"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","180","08:00 < 09:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","849"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","190","09:00 < 10:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","848"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","200","10:00 < 11:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","848"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","210","11:00 < 12:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","850"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","220","12:00 < 13:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","853"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","230","13:00 < 14:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","849"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","240","14:00 < 15:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","854"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","250","15:00 < 16:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","854"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","260","16:00 < 17:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","851"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","270","17:00 < 18:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","848"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","280","18:00 < 19:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","847"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","290","19:00 < 20:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","843"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","300","20:00 < 21:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","844"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","310","21:00 < 22:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","847"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","320","22:00 < 23:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","845"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","001","01 January","330","23:00 < 00:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","844"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","100","00:00 < 01:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","845"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","110","01:00 < 02:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","844"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","120","02:00 < 03:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","844"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","130","03:00 < 04:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","846"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","140","04:00 < 05:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","849"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","150","05:00 < 06:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","851"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","160","06:00 < 07:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","849"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","170","07:00 < 08:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","853"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","180","08:00 < 09:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","859"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","190","09:00 < 10:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","865"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","200","10:00 < 11:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","865"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","210","11:00 < 12:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","865"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","220","12:00 < 13:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","863"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","230","13:00 < 14:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","861"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","240","14:00 < 15:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","865"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","250","15:00 < 16:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","867"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","260","16:00 < 17:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","868"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","270","17:00 < 18:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","861"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","280","18:00 < 19:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","858"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","290","19:00 < 20:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","859"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","300","20:00 < 21:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","860"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","310","21:00 < 22:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","860"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","320","22:00 < 23:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","856"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","002","02 January","330","23:00 < 00:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","852"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","100","00:00 < 01:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","854"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","110","01:00 < 02:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","852"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","120","02:00 < 03:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","853"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","130","03:00 < 04:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","854"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","140","04:00 < 05:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","856"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","150","05:00 < 06:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","853"
"MEC04C01","Large Energy Users Metered Electricity Consumption","2023","2023","003","03 January","160","06:00 < 07:00","925","Large Energy Users (DG10,TCON)","Megawatt Hours","854"
